subject,z_re_T2W20,z_pe_T2W20,z_l2_T2W20,z_l3_T2W20
CSO-14-9A-MARJA,0.9231045282964968,-0.9945824665658548,-1.0252915061664623,0.48734475681141065
CSO-14-9A-SORZU,0.3000574216652802,-0.9152910366389672,-1.379114570896399,-0.2503644018100416
CSO-14-9B-ERAGA,0.5098201385130341,-1.0862994211280452,-1.132983455354789,0.9188716083811208
CSO-14-9B-MFEGA,-0.3883199851692464,1.1713081855337169,0.8701552163447054,-0.6115952441470317
CSO-15-10A-LJRAGU,-1.404619301821928,0.9690620122044987,1.313220850446526,0.07351849605043236
CSO-15-10A-MAARLO,-0.6187000888437149,0.3672356390660273,0.725108594622277,0.6565001660964943
CSO-15-10A-SFEGA,-0.8243310618120632,-0.7880051417237499,-0.756262674213436,-0.9028626773580494
CSO-15-10B-MEBUAR,1.418534703652171,-0.5380245308370637,-0.4080499361882529,2.310804594885114
CSO-15-10B-YVBUAN,-1.1704585628773578,-0.49870217623182755,-0.36530519767210184,-0.5611540341988203
CSO-15-10C-ALBAHO,-1.4049495471461049,-0.19293527396790267,0.01241231732517667,-0.34057801040181196
CSO-15-10C-SSCAMO,0.6295019710246365,-1.230220670008907,-1.3510091577353012,1.8149047283057096
CSO-15-11C-JETALO,0.43803798316717374,0.14621155068916772,-0.3134501450838941,1.377155614854558
CSO-15-7B-JCRAGA,-1.6287126047318439,-1.1317229525164818,-1.201967291315596,-1.0988508789998572
CSO-15-8A-VBMABR,0.4658531516213669,-0.3881236290088809,-0.7640961375832583,-0.8511095781602432
CSO-15-8B-KEPOGO,-0.7472179748297922,-0.10950855408263671,-0.001775138783226453,-0.19693259849487696
CSO-15-9B-ALRIHE,0.25168361521973914,-0.6091575666726516,-0.5204422241374813,-0.39739153550504736
CSO-15-9B-AMSAGO,2.3853478993880284,-0.10687499246244493,0.15849854650593728,-1.093296803319752
CSO-15-9B-JCAPA,-0.17413472616703551,-0.033518403056959564,0.25287214252754653,1.0550141311156263
CSO-15-9B-KSBEJA,0.7481405837674663,-1.0491711154824195,-1.1017916728471762,0.5402046692284145
CSO-15-9B-RMCHLU,0.41780512869062847,0.43790547488084425,0.16580607330009914,-0.4921798016315666
CSO-16-10A-JEGAHE,1.5305348518931303,-2.3340169648567213,-2.904040608527304,2.5940561896948267
CSO-16-10A-MSACO,3.0799286139220565,-1.1843387022851353,-1.2645938865264326,4.527077305037893
CSO-16-10A-SMOUT,-1.5963235519606398,-1.1066097859376256,-1.1745266510432883,-1.1048784988361544
CSO-16-10A-YKMUJO,-1.6904525497080163,1.428725830298045,2.1919135660089575,-1.423528575223492
CSO-16-10B-JESUGU,-0.07358389491640784,-1.1862876771204947,-1.2812456494407476,-0.2940299827085691
CSO-16-10B-LTVIFA,-1.3136353199241608,0.12073407662684499,0.47152605749446735,1.9120772279503302
CSO-16-10B-VVILI,-1.1130950468519372,0.11170035007522286,0.42496146483563707,-1.0372093126316608
CSO-16-10C-ACALGU,-0.04249209996878617,-0.17846552797404902,-0.11839460085156336,0.5460301623654995
CSO-16-10C-MAVAVE,-0.6936833570879966,-0.3777972495604603,-0.20657577576728312,-0.5175268800343903
CSO-16-11A-JAVABO,-1.0012466215681364,0.31284206925277264,0.6991401272913926,0.4694754927318436
CSO-16-11A-JDMUVA,-0.605717017657122,0.5935049707488527,0.6027667567294643,-0.9555604153222678
