subject,edges_T2W40,re_T2W40,lsc_T2W40,z_re_T2W40,z_pe_T2W40
CSO-12-7A-ESALA,0.5113117808036988,-0.24367143660246282,1.305058862086562,0.41294584239968873,-0.9604951373174505
CSO-12-7A-IMERO,0.5113117808036988,-0.08548405895115528,0.31729483554427274,-0.2992951253599048,-0.22853035997988513
CSO-12-7A-JHEZA,0.5113117808036988,0.9816775077751961,0.04077530314911721,1.1311337240460002,0.0832590687659963
CSO-12-7A-LSARAR,-0.5575115812611704,-0.4747340439687373,-1.1903022207112872,0.9029173606913427,-0.9898632072724701
CSO-12-7A-SCAHO,0.1891829796991491,0.22794267013182787,0.09606110523063115,0.896083336266012,-0.3543393947454423
CSO-12-7B-DVAGRO,0.5113117808036988,-0.10082688931316519,0.3428516990340561,-0.7260344779616663,1.9886659949651875
CSO-12-7B-SMUGU,0.2245717775669633,0.5579314947746625,0.2876869253311397,0.2373182235712775,-1.0665957728213535
CSO-12-7B-SSARA,0.5113117808036988,-0.10594506566343564,0.25362963379681536,0.4833382920231535,1.0750416213908647
CSO-12-7B-VHOMA,0.5113117808036988,-0.6219572963459391,0.7286342432681496,-0.5297608666771472,0.9829381858149062
CSO-12-8A-YTOME,0.5113117808036988,-0.5946038601835582,0.37426485219527533,-1.051719002888645,2.1266792756992126
CSO-13-6A-ANASA,0.02717576314365853,-0.858141627710258,0.5398856752634061,-0.6292973623287839,-0.1951957478574613
CSO-13-6B-JETAVE,-0.3510986039311912,1.6221029198574184,-0.2971265193812768,1.4764228415872114,0.785275327901346
CSO-13-6B-LFMIES,-1.863851246007123,-1.4859435192168418,-1.0991812139868644,-1.9552085711103908,0.7010184324563721
CSO-13-6B-LJMAHU,-1.6558876630144712,-0.2701198099742528,-1.3986312965691385,-0.6265115835514404,1.3648557457707844
CSO-13-7A-CAPAMU,-0.15034077666503734,-0.6717229027833032,0.4612660261688579,-1.0477903742202164,0.46965560286900654
CSO-13-7A-CDDITR,0.5113117808036988,-0.8001304551957609,0.4448136221769499,-1.3540500667152828,0.06846636434822989
CSO-13-7A-JJATFL,-0.5066152306866556,0.5675160999410565,0.05536335985098025,1.660919791832323,-0.6352604005051189
CSO-13-7A-RXCHLU,0.5113117808036988,2.032208380313474,-0.5014993475115456,1.7563815116571588,1.0195431939073105
CSO-13-7A-YAMEZA,0.5113117808036988,-0.1762338092605394,0.3748652517747561,0.26318276231378457,-0.14076500374788878
CSO-13-8A-KIGAGU,0.5113117808036988,-0.5082951088038115,0.6072283795329789,-0.20409207838749527,0.08111651515695195
CSO-13-8A-MBUAN,-3.5603962651577183,-1.617269425093219,-4.573169595355447,-2.292314114200725,-0.9196900033297976
CSO-13-8A-MGAAN,-0.16730622685655674,-0.33431634460861087,0.6122582071833671,0.2829752521522223,-0.6291193048037879
CSO-13-8A-MGAHE,0.5113117808036988,0.25080469669884314,0.2433178878940134,-0.3423487001285946,0.5067968951872707
CSO-13-8A-MJAGA,0.5113117808036988,-0.3313699300536922,0.011356055467026492,-0.8064150734853142,0.7806263793013425
CSO-13-8A-VHODU,-0.017689658238528076,1.7889316296846278,0.17301512497565838,2.563465530595515,-0.5690216058677078
CSO-13-8B-FCJISA,0.1172755182912858,-0.5497168999046044,0.8665340520440099,0.045986523926460854,-0.16697585176120622
CSO-13-8B-JEMABE,-0.3424334546398289,0.16198478355447238,-1.6301080475223078,-0.3864031110822588,1.539517069536608
CSO-13-9B-DMLLLU,-3.419992539434908,-0.9108266210685692,-0.6259018471638965,-1.6549580038452207,-0.5983814950472517
CSO-14-7B-EVEGO,0.5113117808036988,-0.27184891999237504,0.3571277327695191,0.6364575439789774,-0.15036059264004406
CSO-14-8A-AQUMA,-0.2767607442210982,0.06878575357768828,-0.7115495119938609,-0.2771289957157093,-0.871546723029715
