subject,lcc_T6W40,lsc_T6W40,z_asp_T6W40,y_true,y_pred
CSO-16-10C-ACALGU,-0.42569695405227304,-0.007071670250316409,0.0,19,13.145564311618159
CSO-16-10C-MAVAVE,-1.39632695132243,-0.07426701699124916,0.0,11,12.10773896760707
CSO-16-11A-JAVABO,-0.8264621106190138,-0.09532161420206187,0.0,16,12.656549211099673
CSO-16-11A-JDMUVA,-1.3242262728650616,-0.13219080039232978,0.0,23,12.121915862663357
CSO-16-11A-VZAOR,-1.705077605989187,0.13759798231514786,0.0,4,12.01085331224671
CSO-16-11B-KRORE,-0.6520725567114587,-0.09631850040818524,0.0,8,12.829941878801105
CSO-16-11B-LLOZA,-1.4985701162989997,-0.1657815312508113,0.0,9,11.913981288370938
CSO-16-11B-YAROMO,-1.6709560251020035,0.033978514276870264,0.0,13,11.941355425095612
CSO-16-9A-JALEMO,-0.8656025404708388,-0.12227895088670582,0.0,13,12.590451444563204
CSO-16-9A-JPROSO,-1.6078474192972794,-0.027839668129061357,0.0,2,11.942645848494408
CSO-16-9A-JSMAGU,0.29608541753135853,-0.01715400756903307,0.0,19,13.857264345883074
CSO-16-9B-SJPAJI,-0.22932355266600712,-0.08165207825954379,0.0,24,13.267357304995194
CSO-17-10A-YVGOCA,-0.009641829711252825,-0.06689041960344255,0.0,24,13.501800686606053
CSO-17-10B-EHECO,-0.6707701785417477,-0.0522398845445764,0.0,15,12.855322872834424
CSO-17-10B-YCQUVE,-0.05300116918239706,0.07751968902278517,0.0,12,13.602851455761137
CSO-17-11A-DJAPA,-0.4320206858499542,-0.02946850986803723,0.0,16,13.11684374020276
CSO-17-11A-JDAMO,-0.6253982586404536,-0.07745686714932809,0.0,6,12.875477810130967
CSO-17-11A-NPAHE,-1.1985439184509268,-0.1341739291103572,0.0,17,12.245615088359465
CSO-17-11A-RLPAIG,-0.31882775301902294,-0.008711273756555948,0.0,4,13.25079390914517
CSO-17-11A-SPUVA,0.8133398516615626,0.024741969459339153,0.0,6,14.41641475704165
CSO-17-11B-CDBEBU,-1.1193973277205718,-0.10133391824223459,0.0,13,12.357601689957942
CSO-17-11C-JDAAG,-1.873123252421368,-0.2218752290339845,0.0,7,11.483334454465396
CSO-17-11C-MAPAMA,-0.4847879603740255,-0.05331584393301636,0.0,7,13.040229131613707
CSO-17-11C-MCAAG,-0.6865688156486076,-0.10221628545592587,0.0,12,12.789547834816215
CSO-17-11C-SARJA,-0.515380781187976,-0.013951427770478197,0.0,8,13.049000726962294
CSO-18-11A-ADBAHO,-1.510268443912677,-0.1759614986262774,0.0,19,11.892102993381794
