subject,nodes_T2W30,re_T2W30,pe_T2W30,l1_T2W30,l2_T2W30,lcc_T2W30,atd_T2W30,diameter_T2W30,asp_T2W30,z_pe_T2W30,z_l1_T2W30,z_l2_T2W30,z_lsc_T2W30,z_density_T2W30,z_diameter_T2W30,z_asp_T2W30
CDMS-14-6B-KDCAHE,20.91304347826087,0.1956521739130435,0.3043478260869565,1.5217391304347827,0.3043478260869565,20.695652173913043,2.704599493520994,7.282608695652174,3.2307386967413483,-0.8779776246496277,0.5373681061430583,-0.8795127367822381,-0.9084939515723768,0.3574201546160748,0.0182017327401586,0.0545574684109937
CDMS-15-10A-AMALOS,24.07843137254902,0.7973856209150327,0.6993464052287581,0.7450980392156863,0.5228758169934641,24.07843137254902,2.416975769644141,10.732026143790849,4.5502160183916365,0.1917337442564732,0.4479143997180607,-0.0293049256135209,-0.4162716833001043,-0.8527097503296479,0.6354393749887199,0.8661865088698623
CDMS-15-10A-JJMACH,24.20744680851064,1.1595744680851063,0.5585106382978723,0.1382978723404255,0.5,24.20744680851064,2.406707735253064,9.5531914893617,4.206106064508007,-0.0773118758140839,-0.5282592819519416,-0.1278973158443689,0.4714452572996091,-0.722350901083905,0.0124215805683487,0.2399220640461129
CDMS-15-10A-MAALCA,23.696969696969692,0.3535353535353535,1.878787878787879,0.3131313131313131,1.606060606060606,23.696969696969692,2.4621499239549305,9.08080808080808,3.9353872940323256,1.4543668362657578,-0.4621583155718451,1.2527500748773344,0.1931757239370412,-0.7267978089251126,-0.0710198043420315,-0.0436847919362962
CDMS-15-10A-MAALRI,23.6625,1.025,0.5,1.26875,0.5,23.5625,2.4714659465917963,11.375,4.709489758475192,-0.2879315209013261,0.8301509628509744,-0.2614291299606101,-0.4282591732333268,-1.066955968372553,0.883344649513765,1.2006509942645842
CDMS-15-10A-SGOMO,23.18045112781955,0.7744360902255639,1.56390977443609,0.4360902255639097,0.9774436090225564,23.18045112781955,2.5157289108286167,8.62406015037594,3.779955776581265,1.1595297626641436,-0.2518020084801327,0.455804427873752,-0.1375797584160785,-0.8013340919812304,0.0670501053445131,0.1030758619999832
CDMS-15-10A-SHEGA,21.375,1.9829545454545452,1.4204545454545454,1.0340909090909092,0.6647727272727273,21.375,2.7155796711095124,8.375,3.67644107757756,0.2982854787594486,0.1797864314608711,-0.3705481760446907,-0.2891263266887047,-0.9484764808924612,0.8511961124574853,1.1362970597210948
CDMS-15-11B-JEMOLO,21.7375,2.3375,0.1625,1.45,0.0875,21.7,2.641473124510882,9.8,4.033758281986257,-0.7763380882090978,1.0544530586627947,-0.8645657508052288,-1.5184133392469472,-1.8101982947397728,1.7735226546895384,2.073842652498962
CDMS-15-11B-VSAHO,24.03174603174603,0.6984126984126984,0.7142857142857143,1.0,0.7142857142857143,24.03174603174603,2.427455014303113,11.555555555555555,4.7626819213608655,0.3796162412533342,0.6657819175209506,0.3936329556949666,-0.7326193743609947,-1.199876522163766,1.060535172611038,1.3163340337337583
CDMS-16-10A-SGALO,25.06451612903226,0.3225806451612903,0.0,0.0,0.0,25.06451612903226,2.3250674695415228,10.161290322580646,4.32130706341085,-0.6943908486445156,-0.6259551694373069,-0.696155806344336,0.5761454739216991,0.6891865659131808,-0.3342874000474596,-0.4042669648921495
CDMS-16-11B-NGABE,23.83333333333333,0.6086956521739131,0.9710144927536232,0.5289855072463768,0.9710144927536232,23.83333333333333,2.446503358015645,9.818840579710145,4.171667195088745,0.6164518560205481,-0.1787427572890875,0.6516317428262068,-0.3967419694437734,-0.6297672412386982,0.4218999746532802,0.5241894753244383
CDMS-17-10A-ASSAMO,24.25,0.8819444444444444,0.0,0.0,0.0,24.25,2.4010116069294813,10.21527777777778,4.354853339539329,-0.7466836590666621,-0.693370452178622,-0.7529048566612005,-0.1369325537636765,0.2286936185716567,0.4143308817009473,0.5988133717252473
CDMS-18-7C-VVECA,23.16455696202532,1.981012658227848,0.1772151898734177,0.3670886075949367,0.1772151898734177,23.16455696202532,2.558330936038547,10.759493670886076,4.484046267576902,-0.457606593424148,-0.406371067980957,-0.4753987570265391,-0.4557047452926124,-0.7836467118696729,0.920422862761508,1.1709228676938803
CDMS-8-4A-DJAVDA,19.923076923076923,2.3846153846153846,0.0,2.0384615384615383,0.0,19.923076923076923,2.919042945358735,6.615384615384615,3.029217480146273,-1.3166198708393486,0.8660037441153354,-1.3736572919123862,-0.2555951354125554,-1.0381201880200306,0.3772209111742494,0.4455690555655807
