feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
re,raw,6,T6W50,252,0.07914811384540059,0.2105130222431725,0.08198580958386746,0.19545946943228104,-0.17376203813256463,0.005679316581749646,-0.1533594510460549,0.01501793230033349,0.07914811384540059,0.08198580958386746,0.17376203813256463,0.1533594510460549
pe,raw,6,T6W50,252,0.02070694251076812,0.7435821561671766,0.021253184855158706,0.7375715969015241,-0.05503664755916295,0.3843027807331499,-0.04872761154624552,0.4421344656093435,0.02070694251076812,0.021253184855158706,0.05503664755916295,0.04872761154624552
l1,raw,6,T6W50,252,-0.013521858567003001,0.8308625621701197,-0.012459484345688141,0.8442832628996186,-0.029454234839433484,0.6416823710147842,-0.01482541491211874,0.8152029913169463,0.013521858567003001,0.012459484345688141,0.029454234839433484,0.01482541491211874
l2,raw,6,T6W50,252,0.007578446067595148,0.9047146946922217,0.00767373233802888,0.9037150182467969,-0.010575811007361527,0.867326149109403,-0.009434905790848968,0.8817633653574217,0.007578446067595148,0.00767373233802888,0.010575811007361527,0.009434905790848968
l3,raw,6,T6W50,252,0.07172540983574602,0.2566240825924607,0.07321624324261575,0.24779355965199726,-0.20829283062125753,0.0008789057109083971,-0.19651850152490274,0.0017572472053189717,0.07172540983574602,0.07321624324261575,0.20829283062125753,0.19651850152490274
lcc,raw,6,T6W50,252,-0.09944411861056256,0.11532947892409119,-0.10197076406617323,0.1070358355150378,0.15594108768966317,0.013198753207487665,0.13796840326005125,0.028860877805137627,0.09944411861056256,0.10197076406617323,0.15594108768966317,0.13796840326005125
lsc,raw,6,T6W50,252,-0.10605658863685881,0.0929637195215668,-0.10799004861311588,0.08775876602011001,0.10469059685414685,0.09727531287188951,0.08940993868559093,0.15786774932667066,0.10605658863685881,0.10799004861311588,0.10469059685414685,0.08940993868559093
atd,raw,6,T6W50,252,0.09454631234988195,0.13445335202916578,0.09740414080675877,0.12377230759864252,-0.15724970119591494,0.012439670778549475,-0.13731182972654354,0.029638976429807087,0.09454631234988195,0.09740414080675877,0.15724970119591494,0.13731182972654354
density,raw,6,T6W50,252,0.09600503374558078,0.1285188507241111,0.09882063682573602,0.11837677515293327,-0.14470604177865976,0.021571812837189935,-0.12477601888323234,0.04830444163777801,0.09600503374558078,0.09882063682573602,0.14470604177865976,0.12477601888323234
diameter,raw,6,T6W50,252,-0.09539444982204026,0.130977778900911,-0.09767432292011288,0.12272870243331602,0.130186573092985,0.03890691257901078,0.11285375981146861,0.07430659190161702,0.09539444982204026,0.09767432292011288,0.130186573092985,0.11285375981146861
asp,raw,6,T6W50,252,-0.09687043419283611,0.1250950168588996,-0.09909112055287334,0.11736764984102138,0.12653443447211896,0.04477538786381668,0.10954567116390415,0.0832587358405571,0.09687043419283611,0.09909112055287334,0.12653443447211896,0.10954567116390415
cc,raw,6,T6W50,252,0.04576865036702828,0.469482228915232,0.0469218267640089,0.45925225822312776,-0.1594366627595205,0.011256633419121455,-0.14871712164082973,0.01839914223614522,0.04576865036702828,0.0469218267640089,0.1594366627595205,0.14871712164082973
