subject,nodes_T2W20,re_T2W20,pe_T2W20,l1_T2W20,l2_T2W20,l3_T2W20,lsc_T2W20,asp_T2W20
CDMS-10-6B-JJMOBE,16.84375,0.1875,0.0,0.0,0.0,0.0,11.5625,3.400141396808386
CDMS-11-5A-EAARCA,17.02906976744186,0.4186046511627907,0.5813953488372093,0.4418604651162791,0.5290697674418605,0.5930232558139535,9.511627906976743,4.2149040379105545
CDMS-11-5A-MGTHAR,17.161616161616163,0.1818181818181818,0.1919191919191919,0.4444444444444444,0.1414141414141414,0.3333333333333333,10.343434343434344,3.903686279425092
CDMS-11-6A-DFVEBE,15.465116279069768,0.5813953488372093,0.4186046511627907,0.5581395348837209,0.4186046511627907,1.697674418604651,8.418604651162791,3.701995359861297
CDMS-11-6A-NMREPR,16.646464646464647,0.7575757575757576,0.1212121212121212,0.7070707070707071,0.1212121212121212,2.292929292929293,7.575757575757576,4.390395404198293
CDMS-11-6B-ARAHE,15.621052631578948,1.331578947368421,0.5421052631578948,0.9947368421052633,0.3736842105263158,0.6421052631578947,9.821052631578947,3.757477878792039
CDMS-11-6B-AVROTO,16.834586466165412,0.3308270676691729,0.2706766917293233,0.2857142857142857,0.2706766917293233,0.6842105263157895,10.984962406015038,4.013059841452029
CDMS-11-6B-EAFESA,17.119266055045873,0.3669724770642202,0.1834862385321101,0.8715596330275229,0.1834862385321101,0.0,8.477064220183486,4.602871262038473
CDMS-11-6B-EFRGR,16.137254901960784,0.6519607843137255,0.2647058823529412,0.9411764705882352,0.2647058823529412,0.2941176470588235,9.901960784313726,3.9404989735302975
CDMS-11-6B-EROCO,16.493150684931507,0.4520547945205479,0.4931506849315068,1.2465753424657535,0.4931506849315068,0.8767123287671232,8.178082191780822,4.356632211792524
CDMS-11-6B-JACUPE,13.947368421052632,1.0263157894736843,0.9894736842105264,1.4631578947368422,0.8105263157894737,0.9578947368421052,10.105263157894736,2.990278272638954
