subject,nodes_T2W20,edges_T2W20,l2_T2W20,lcc_T2W20,y_true,y_pred
CSO-16-10B-VVILI,0.2574726137838267,0.16832886290360466,0.0,-0.3052442265486445,3,2.9999999999999964
CSO-16-10C-ACALGU,0.0502962286160179,-0.0630869104116089,0.0,-0.08367355883012756,4,2.782978509235491
CSO-16-10C-MAVAVE,0.16473868384059678,0.16832886290360524,0.0,-0.21251029660541165,2,3.0
CSO-16-11A-JAVABO,0.06941478851670076,0.16832886290360446,0.0,-0.1171864012815184,4,2.9999999999999964
CSO-16-11A-JDMUVA,0.2721867912887015,0.1683288629036046,0.0,-0.3199584040535193,6,2.9999999999999964
CSO-16-11A-VZAOR,0.2378832569851689,0.16832886290360452,0.0,-0.2856548697499866,6,2.9999999999999964
CSO-16-11B-KRORE,0.06092058002249122,0.16832886290360463,0.0,-0.10869219278730903,4,2.9999999999999964
CSO-16-11B-LLOZA,0.19236212609818334,0.042037937832191924,0.0,-0.23892521326423088,4,2.874917600527354
CSO-16-11B-YAROMO,0.10782404797859214,0.0844757790505246,0.0,-0.15238597332319537,3,2.919356603567131
CSO-16-9A-JALEMO,0.19982345805580487,0.16832886290360463,0.0,-0.2475950708206227,6,2.9999999999999964
CSO-16-9A-JPROSO,0.1373844530965346,0.16832886290360474,0.0,-0.18515606586135253,3,2.9999999999999964
CSO-16-9A-JSMAGU,0.015773087113805026,0.16832886290360452,0.0,-0.06354469987862273,5,2.9999999999999964
CSO-16-9B-SJPAJI,-0.23332324363309623,0.07214444318977195,0.0,0.1913809896388156,3,2.909644939056701
CSO-17-10A-YVGOCA,0.3612713509614959,-0.008009239905084342,0.0,-0.254564956307131,5,2.97813990461049
CSO-17-10B-EHECO,0.19631971542162882,-0.059272364697623814,0.0,-0.23102331511843013,2,2.7854667854667845
CSO-17-10B-YCQUVE,0.0472103355430184,-0.4444436729458504,0.0,-0.053934984183946544,2,2.428274428274431
CSO-17-11A-DJAPA,-0.12364493787635944,-0.4372767427020017,0.0,0.39886298143452936,4,2.717384050717378
CSO-17-11A-JDAMO,0.03999669117407592,0.16832886290360458,0.0,-0.08776830393889368,3,2.9999999999999964
CSO-17-11A-NPAHE,-0.06909613620111998,0.16832886290360438,0.0,0.021324523436302423,4,2.9999999999999964
CSO-17-11A-RLPAIG,-0.06815807846792964,0.16832886290360458,0.0,0.02038646570311188,2,2.9999999999999964
CSO-17-11A-SPUVA,-0.07860891085834817,0.16832886290360477,0.0,0.030837298093533777,4,3.0
CSO-17-11B-CDBEBU,-0.04656786079928165,-0.3430714262744597,0.0,0.03794650940694916,2,2.527749972194414
CSO-17-11C-JDAAG,0.21570393480584632,0.1683288629036046,0.0,-0.2634755475706641,3,2.9999999999999964
CSO-17-11C-MAPAMA,0.1311045037096012,0.043350381237223956,0.0,-0.17635129866297572,3,2.877546336145059
CSO-17-11C-MCAAG,0.2909266850285958,0.16832886290360455,0.0,-0.33869829779341354,2,2.9999999999999964
CSO-17-11C-SARJA,0.1547591492708961,0.16832886290360455,0.0,-0.20253076203571385,4,2.9999999999999964
CSO-18-11A-ADBAHO,0.23217755127946452,0.16832886290360452,0.0,-0.2799491640442822,2,2.9999999999999964
CSO-18-11B-YLLRE,0.18942570852762028,0.1683288629036045,0.0,-0.23719732129243798,1,2.9999999999999964
CSO-18-9B-MAMOLO,-0.1963260239289819,0.10898298407348705,0.0,0.15196183004436414,3,2.944061540050079
CSO-8-3A-DAPAVA,-0.027502037811889906,-0.019107442179763595,0.0,-0.019372750526691337,1,2.813460519342865
CSO-8-3A-KVPECO,-0.06391854481663273,-1.648487953913209,0.0,0.832963748868632,2,2.0
CSO-8-4A-ARAGR,0.08597783043185593,-0.15409214965824838,0.0,0.04490808757353461,3,2.856236518208352
CSO-8-4A-JRAAR,0.05231533612313077,-1.5629906919453616,0.0,0.28465072996737867,2,1.6534181240063575
CSO-9-2A-EXMOCO,0.20369790884633132,-0.2795376082186812,0.0,-0.1393108513129452,1,2.6642921991759145
CSO-9-4A-AGAPE,0.19047870958062166,0.16832886290360455,0.0,-0.2382503223454394,3,2.9999999999999964
CSO-9-4A-DKVIMO,0.08492595185395194,0.16832886290360477,0.0,-0.1326975646187699,1,2.9999999999999964
CSO-9-4A-DSMOMU,0.11016393460935842,0.16832886290360471,0.0,-0.1579355473741763,4,2.9999999999999964
CSO-9-4A-DVGATO,-0.03077147369487654,0.16832886290360505,0.0,-0.017000139069938136,2,3.0
CSO-9-4A-FAGIGA,0.0650557903432708,0.1683288629036048,0.0,-0.11282740310808878,4,2.9999999999999964
CSO-9-4A-GSBRCO,-0.03503251593060502,0.1683288629036045,0.0,-0.012739096834212649,3,2.9999999999999964
CSO-9-4A-KEMOCO,-0.04209184006309896,-0.12413433199861391,0.0,-0.0008456703066426208,1,2.712370907492854
CSO-9-4A-LCOMO,-0.7331140561174039,0.16832886290360483,0.0,0.6853424433525894,5,3.0
CSO-9-4A-MLORO,-0.2474482283463153,-0.020340575765828817,0.0,0.37119428709916824,3,2.9828482328482337
CSO-9-4A-MPAME,-0.09043286401387912,0.16832886290360471,0.0,0.04266125124906123,5,2.9999999999999964
CSO-9-4A-NSARPA,0.12887424797616198,-0.17686633229159143,0.0,-0.12709631119142947,3,2.7043543543543507
CSO-9-4A-SLOCA,-0.3081055890036764,0.1683288629036046,0.0,0.2603339762388586,3,2.9999999999999964
CSO-9-4A-YVDITR,0.3204658395677505,0.1683288629036045,0.0,-0.36823745233256816,5,2.9999999999999964
