"target","window","set","metric","mean","std","ci_lower","ci_upper","t_critical","df","significant","run_name"
"MOT","T7W30","VALIDATION","rho","0.083574","0.120795","0.0717","0.095448","1.9659","399","True","W30_z_all"
"MOT","T7W30","TEST","R2","-8.713462706489798e+16","3.950800500289297e+17","-1.2596955978618102e+17","-4.829969434361495e+16","1.9659","399","True","W30_z_all"
"MOT","T7W30","TEST","RMSE","632518743.595162","2182628534.721606","417974292.931912","847063194.258412","1.9659","399","True","W30_z_all"
"MOT","T7W30","TEST","MAE","126503753.866164","436525707.259426","83594863.702541","169412644.029788","1.9659","399","True","W30_z_all"
"MOT","T7W30","TEST","rho","0.102376","0.188263","0.08387","0.120881","1.9659","399","True","W30_z_all"
"COG","T7W30","VALIDATION","R2","-2.2045117723018156e+18","2.626344843891113e+19","-4.786113280855118e+18","3.770897362514877e+17","1.9659","399","False","W30_z_all"
"COG","T7W30","VALIDATION","RMSE","490266035.605719","3000538553.214132","195324003.394388","785208067.81705","1.9659","399","True","W30_z_all"
"COG","T7W30","VALIDATION","MAE","68650978.046037","420159437.788395","27350832.676689","109951123.415386","1.9659","399","True","W30_z_all"
"COG","T7W30","VALIDATION","rho","-0.063463","0.126164","-0.075864","-0.051061","1.9659","399","True","W30_z_all"
"COG","T7W30","TEST","R2","-5.994837552384735e+17","6.936987279649897e+18","-1.2813643874644577e+18","8.239687698751027e+16","1.9659","399","False","W30_z_all"
"COG","T7W30","TEST","RMSE","248261095.316066","1681883169.978701","82938093.695513","413584096.93662","1.9659","399","True","W30_z_all"
"COG","T7W30","TEST","MAE","49652220.371292","336376634.065278","16587620.040346","82716820.702238","1.9659","399","True","W30_z_all"
"COG","T7W30","TEST","rho","-0.061157","0.187807","-0.079618","-0.042696","1.9659","399","True","W30_z_all"
"MOT_V4","T7W30","VALIDATION","R2","-1.441817983146449e+17","4.839056345484368e+17","-1.9174796309507923e+17","-9.661563353421056e+16","1.9659","399","True","W30_z_all"
"MOT_V4","T7W30","VALIDATION","RMSE","523623653.802592","1181638280.894367","407472906.286829","639774401.318355","1.9659","399","True","W30_z_all"
"MOT_V4","T7W30","VALIDATION","MAE","73321979.848456","165462455.275571","57057621.984639","89586337.712272","1.9659","399","True","W30_z_all"
