subject,edges_T6W50,re_T6W50,pe_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,y_true,y_pred
CDMS-9-4A-ACDUTR,0.0,-0.0001262544795791215,-1.1524438852742944e-05,-0.00017861706568367486,0.0,-0.00029673731160870665,-0.001436070362625825,-0.00021348214811753047,7,7.999036245355825
CDMS-9-4A-CARGA,0.0,-0.0003046435147132009,0.00020520218704394937,0.0,0.0,-0.0001950101393702114,-0.0011784982836206572,7.088116200124213e-05,8,7.9998968625736335
CDMS-9-4A-CRAAG,-3.560918327395528e-05,-0.0008917077491853413,-0.0007285135101780649,-2.6663008601540174e-05,-4.026838555925896e-05,-0.0002665782517818976,-0.0009072029713390113,-0.0014530969982397858,4,7.9969492911041336
CDMS-9-4A-EROHI,0.0,-9.707400527730049e-05,0.0003098887199301513,-0.00043844930124254094,5.861315255605373e-05,0.0001698522401011827,-0.00018072985513178051,0.0006867416032435014,5,8.001807773716472
CDMS-9-4A-ILOSE,0.0,-0.0009602981539927597,-0.0007240962154311815,0.0,-8.176651878492348e-05,-0.00039458240647095264,-0.0011667545248523832,-0.0008467350667353033,7,7.997124698276025
CDMS-9-4A-TGAFR,0.0,-0.0010043288618784383,-0.0008676565473659863,0.0,0.0,-0.0002901949720728308,-0.0010135746244246447,-0.0010376446014427976,6,7.997085531555108
CDMS-9-4C-SCAMO,0.0,-0.00024179519702033478,-0.0007549521901062804,0.0,-0.00016343387371171105,0.00012997294336502836,-0.0016968995064903438,-0.0008385259825165868,2,7.997733297355812
CDMS-9-5A-ABERO,0.0,-0.0005735937741061059,-0.0007208834709809895,-0.0001376035414845365,0.0,0.0006114427792819349,-0.0008302961124894669,-0.000573770073570694,8,7.9990742269689425
CDMS-9-5A-PAGACO,0.0,8.930013093298761e-05,-0.00010481413618409475,-4.615221730708643e-05,0.0,0.00011795941950968181,-0.0013687596673945211,8.08196922806901e-05,9,8.00006728438413
CDMS-9-5A-VVAAR,0.0,-0.0006674676128901038,-0.0008642492830521994,-1.837360505845898e-05,0.00013927055800562861,-0.00017931881365351992,-0.0009140895489664027,-0.0011267876394474873,11,7.99766791521723
CDMS-9-5C-JDMADE,0.0,-0.0004644607282332076,-0.0004912570421372273,-0.00029698329562725115,0.0,0.00028068438258869663,-0.0006375573827114823,-0.0006371366452390401,12,7.999052220450933
CDMS-9-5C-LVIZAC,0.0,0.0,8.264559507578619e-05,3.0424943169014493e-05,6.370382081092744e-05,-0.0005944143169875954,0.00106325349246626,0.0008541641240759199,8,8.002798708820903
CDMS-9-5C-MLOGO,0.0,-0.0004193100558507728,-0.0002918339560976081,-6.335895261509485e-05,-5.865873455587322e-05,-0.0008872268282766386,-0.0011652140094413797,-0.0006647942388937342,5,7.997748534386561
CDMS-9-5C-SCAAG,3.56581246181855e-05,9.304208299686716e-05,0.00016632475589938554,3.312236177335326e-05,5.084519974539147e-05,-0.0002825726027104585,-0.0008927356404064112,0.0002910775348128249,9,8.000793692979022
CDMS-XX-10A-VGILO,4.261413696664834e-05,0.0004370357664914038,0.0009422950047282022,-0.000841883402564048,1.4177382396566001e-05,0.0003875125289866121,0.0005659701898709118,0.0007305705679826794,8,8.003577223337151
