subject,edges_T6W50,re_T6W50,pe_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50
CSO-11-6B-DISEMO,47.810526315789474,2.973684210526316,4.057894736842106,0.0,1.0842105263157895,1.2105263157894737,35.54736842105263,30.26315789473684
CSO-11-6B-LHFDLACH,48.7379679144385,5.10427807486631,6.521390374331551,0.56951871657754,1.4171122994652403,1.3475935828877006,34.25668449197861,29.93582887700535
CSO-11-6B-RJGIHE,49.0,2.9130434782608696,3.642857142857143,0.8850931677018633,0.8819875776397516,2.9627329192546585,32.77018633540373,30.75465838509317
CSO-11-6B-SFLVA,49.0,4.175438596491228,5.649122807017544,1.9157894736842105,1.656140350877193,2.736842105263158,30.66315789473684,28.92982456140351
CSO-11-6B-VCOMA,49.0,3.362264150943396,4.475471698113208,0.3018867924528302,1.169811320754717,1.5169811320754718,34.37735849056604,31.494339622641508
CSO-12-6A-DGISE,49.0,3.9322033898305087,4.77542372881356,2.364406779661017,1.402542372881356,1.347457627118644,33.059322033898304,29.372881355932204
CSO-12-6A-FJOVRE,48.67003367003367,3.259259259259259,4.407407407407407,0.8518518518518519,1.1750841750841752,1.9932659932659933,31.939393939393938,29.46127946127946
CSO-12-6B-GQULO,49.0,2.925,4.257142857142857,1.3357142857142856,1.332142857142857,0.9357142857142856,32.57857142857143,30.321428571428573
CSO-12-6B-LJHEFE,49.0,2.656108597285068,3.823529411764706,0.4796380090497738,1.167420814479638,1.416289592760181,35.36877828054298,32.66289592760181
CSO-12-6B-VPAMA,45.71518987341772,6.1455696202531644,6.436708860759493,0.620253164556962,0.2911392405063291,1.9177215189873416,29.88607594936709,22.82278481012658
CSO-12-7A-DALRE,48.88412017167382,5.950643776824034,6.8004291845493565,0.9828326180257512,0.8905579399141631,2.3047210300429186,29.830472103004293,27.877682403433475
CSO-12-7A-ESALA,49.0,3.677248677248677,4.407407407407407,0.0,0.7301587301587301,2.259259259259259,31.46031746031746,29.82010582010582
CSO-12-7A-IMERO,49.0,3.467625899280576,4.64568345323741,0.6169064748201439,1.1780575539568343,1.5359712230215827,33.82553956834533,31.25719424460432
CSO-12-7A-JHEZA,48.04979253112033,2.979253112033195,4.04149377593361,1.0912863070539418,1.062240663900415,1.5145228215767634,35.273858921161825,29.92116182572614
CSO-12-7A-LSARAR,49.0,5.024875621890548,6.582089552238806,0.0,1.5572139303482586,1.4427860696517414,30.76616915422885,28.83582089552239
CSO-12-7A-SCAHO,49.0,4.14,5.014285714285714,0.14,0.8742857142857143,1.6657142857142857,32.902857142857144,30.645714285714284
CSO-12-7B-DVAGRO,49.0,2.8922558922558923,4.033670033670034,1.1548821548821548,1.303030303030303,1.5454545454545454,35.323232323232325,30.83838383838384
CSO-12-7B-SMUGU,49.0,2.780269058295964,3.273542600896861,0.6591928251121076,0.4932735426008968,2.0,33.48430493273543,30.887892376681613
CSO-12-7B-SSARA,49.0,2.628975265017668,3.318021201413428,0.8657243816254417,0.6890459363957597,0.8127208480565371,35.34628975265018,32.63250883392226
CSO-12-7B-VHOMA,49.0,2.096703296703297,2.512087912087912,0.8131868131868132,0.6263736263736264,0.8747252747252747,36.83076923076923,33.64835164835165
CSO-12-8A-YTOME,49.0,3.1041666666666665,4.104166666666667,0.175,1.0,1.5,33.4875,31.925
CSO-13-6A-ANASA,49.0,2.542151162790698,3.558139534883721,0.1424418604651162,1.0159883720930232,0.8677325581395349,36.03343023255814,33.48982558139535
CSO-13-6B-JETAVE,49.0,5.249466950959488,5.79317697228145,0.208955223880597,0.5948827292110874,2.2260127931769724,31.590618336886997,29.73773987206823
CSO-13-6B-LFMIES,48.18672199170125,3.112033195020747,3.780082987551867,0.6887966804979253,0.6680497925311203,1.6514522821576765,32.18257261410788,29.17427385892116
CSO-13-6B-LJMAHU,48.066869300911854,4.164133738601824,5.48936170212766,0.2644376899696048,1.4559270516717324,0.4802431610942249,32.59270516717325,28.954407294832823
CSO-13-7A-CAPAMU,48.635009310986966,3.087523277467412,4.942271880819367,0.9329608938547486,1.8547486033519556,1.314711359404097,34.07448789571695,31.01489757914339
CSO-13-7A-CDDITR,49.0,2.8846153846153846,3.4759615384615383,0.235576923076923,0.5913461538461539,1.2355769230769231,35.8125,32.98557692307692
CSO-13-7A-JJATFL,49.0,3.5523012552301254,4.849372384937238,0.2970711297071129,1.297071129707113,1.4853556485355648,32.51882845188285,30.585774058577407
CSO-13-7A-KRAMA,49.0,3.601941747572816,4.563106796116505,0.5339805825242718,0.9611650485436892,1.0145631067961165,31.83980582524272,30.101941747572816
CSO-13-7A-RXCHLU,49.0,2.4157894736842107,3.268421052631579,0.0,0.8526315789473684,1.3842105263157896,32.578947368421055,30.905263157894737
