subject,pe_T2W10,l2_T2W10,diameter_T2W10,asp_T2W10,z_pe_T2W10,z_l3_T2W10,y_true,y_pred
CSO-12-7A-DALRE,0.9972499080756942,0.7814553713553423,1.1503773415408332,1.7239084281125032,1.246067607230795,2.5409413436848327,23,23.0
CSO-12-7A-ESALA,0.2216088176661812,0.23730433844409243,0.705538719426342,0.7548529918860194,0.0394177755033116,0.48127735707405467,17,17.0
CSO-12-7A-IMERO,0.7450309204242127,0.3897402310288405,0.3778388098067724,0.6890330619671545,0.7004808610367478,0.5378761157362738,18,18.0
CSO-12-7A-JHEZA,0.6783346486763708,0.7954364967290546,3.171959605302603,1.1374196765339675,1.1767351709348965,1.480114401823109,23,23.0
CSO-12-7A-LSARAR,0.9934043503759521,0.9646007594724524,-0.35065473008463055,0.7236233995775857,1.2641718565849798,1.8448543640736608,20,20.0
CSO-12-7A-SCAHO,-1.7862152974065888,-1.689297047474922,0.1720622953564721,-1.5130675870646224,-2.1626906839030027,-1.5807916795073358,6,6.0
CSO-12-7B-DVAGRO,0.6130700119437102,0.3410110138487008,3.2525157884338483,0.9094089212588828,0.9018827090854534,0.42211155542940537,21,21.0
CSO-12-7B-SMUGU,-0.2276861813697648,-0.27285974253565104,-0.9445588780759868,-0.4993520745293666,-0.4389968298862677,-0.1765462936029616,12,12.0
CSO-12-7B-SSARA,-1.001634017830068,-1.04962791046389,-2.094267359351914,-1.2944728476986418,-0.6172545303014099,-1.5027433343540753,7,7.0
CSO-12-7B-VHOMA,0.44637534796658684,0.6440111826818692,2.902014236177766,0.9988200574175831,1.0814328247603233,1.3673463509958728,22,22.0
CSO-12-8A-YTOME,1.7819734998044767,1.9247854416486123,4.110803132102679,1.9568867999676618,3.0781508966920543,1.5874002297845173,29,29.0
CSO-13-6A-ANASA,-0.38252927688800126,-0.3052512211687234,-2.4393573397028008,-0.40714066610420363,-0.27254949035618065,0.24682799421991097,11,11.0
CSO-13-6B-JETAVE,1.0415841682962375,1.074228641844154,2.224170303584347,1.2017093131614491,2.337741334700901,0.5605662384129122,23,23.0
CSO-13-6B-LFMIES,0.629909299219091,0.4885250161478423,3.751874436473888,1.2796429832998322,0.9442761999907268,1.345772064868621,23,23.0
CSO-13-6B-LJMAHU,0.9481147022311988,1.4342539990265462,1.1867342169961206,0.7317367852653103,2.8809265430107707,2.2582337534700554,24,24.0
CSO-13-7A-CAPAMU,0.06816150412292621,0.22847853041033023,-0.6307346221127303,0.07204894716798893,0.487430391691447,0.21461524872003931,15,15.0
