subject,nodes_T6W40,lcc_T6W40,lsc_T6W40,y_true,y_pred
CSO-17-10B-EHECO,0.9242974141822532,-0.893234733062528,0.1434432648387207,8,5.715669297585495
CSO-17-10B-YCQUVE,0.2951226339472982,0.301968534169786,-0.3789368050091557,4,5.759317714734978
CSO-17-11A-DJAPA,0.8930788973152549,-1.449641551412462,0.24687009622207018,7,5.231470793751912
CSO-17-11A-JDAMO,0.308041699355898,-0.5374689723029447,0.18261567350050445,3,5.494351752180507
CSO-17-11A-NPAHE,1.5954816193102423,-2.563611063884458,0.5996464293235941,6,5.172680336376427
CSO-17-11A-RLPAIG,0.14744154359942951,-0.2847202960740242,0.015476803846618828,1,5.4193614029990735
CSO-17-11A-SPUVA,-1.1080520790201296,1.691145478378468,-0.15708762946075222,2,5.967169121524636
CSO-17-11B-CDBEBU,1.450609669856543,-2.335615061796828,0.3754762126338513,5,5.031634172320615
CSO-17-11C-JDAAG,2.6661187499870773,-4.2485541215390015,0.8650944968965933,3,4.823822476971718
CSO-17-11C-MAPAMA,0.40481892768551414,-0.6897746549107854,0.17945501034579975,2,5.435662634747578
CSO-17-11C-MCAAG,1.1057257285360882,-1.792844980343487,0.40294498912858695,3,5.256989088948237
CSO-17-11C-SARJA,0.7179675389362803,-1.1826004344609287,0.4027002382117656,3,5.479230694314166
CSO-18-11A-ADBAHO,1.9830321896762062,-3.17352886359254,0.6917084073713626,7,5.042375085082078
CSO-18-11B-YLLRE,1.2800533030212886,-2.0671975391800204,0.2299820339587446,10,4.984001149427062
CSO-18-9B-MAMOLO,0.8198290166484571,-1.3429075868992753,-0.25365307848511065,1,4.7644317028911205
CSO-8-3A-AIPRBR,-1.0090838097389931,1.5353915880310296,-0.13005093706425047,0,5.937420192854836
CSO-8-3A-DAPAVA,-0.8880288653816548,1.3448782177720435,-0.23187871118434186,3,5.766133992833096
CSO-8-3A-KVPECO,-0.6017056489653224,0.8942696017220556,-0.21599207113111205,7,5.61773523325267
CSO-8-4A-ARAGR,1.1160875662589655,-1.7661604518138545,-0.040768842992433746,10,4.850321623079727
CSO-8-4A-JRAAR,-3.0485482007006945,4.82228605378947,-0.768392055425177,1,6.546509149290648
CSO-9-2A-EXMOCO,-1.4150132401213134,2.2088744239742386,-0.7676506114522721,5,5.567373924027702
CSO-9-4A-AGAPE,0.17487303392712425,-0.3278913181359504,0.09463092420563567,1,5.482775991623859
CSO-9-4A-DKVIMO,-1.7798072453317562,2.76392673302353,-0.21101092461672646,3,6.314271914702097
CSO-9-4A-DSMOMU,1.477004224007423,-1.6484052972056364,0.14351511393738317,7,5.513277392366219
CSO-9-4A-DVGATO,0.09017335558815727,-0.11597952607986489,-0.26739476563159464,4,5.247962415503747
CSO-9-4A-EGCAMO,-1.3917822183982542,2.137673171930719,-0.1954650100179534,8,6.091589295141561
CSO-9-4A-FAGIGA,0.4069595149146838,0.05157296910910317,-0.6336079928173838,9,5.366087842833452
CSO-9-4A-GSBRCO,-2.3994738379429545,3.7235540927008834,-0.4640848712688068,3,6.401158735116171
CSO-9-4A-KEMOCO,-2.0177260822428713,3.122768623645252,-0.23111029599821994,2,6.41509559703121
CSO-9-4A-LCOMO,1.6212458454327534,-2.6041581854974774,0.3281442916288114,3,4.8863953031911365
CSO-9-4A-MLORO,-1.089487256638537,1.6619286058339122,-0.051451328428839066,3,6.062153372393586
CSO-9-4A-MPAME,-1.3294290039812333,2.047020001840696,-0.42930730538689366,10,5.829447044099618
CSO-9-4A-NSARPA,0.006265667220573786,-0.04419794263803269,0.1259513044629256,3,5.629182380672516
CSO-9-4A-SLOCA,-1.3910484185615368,2.136518335333745,-0.3614789305294202,4,5.925154337869837
CSO-9-4A-YVDITR,-3.724794177607298,5.8854767788768925,-0.9064578832425504,8,6.795388069654094
