subject,edges_T2W30,re_T2W30,l1_T2W30,lcc_T2W30,z_l3_T2W30,y_true,y_pred
CDMS-11-6B-JACUPE,-0.02966811818189018,-0.034099738863240005,-0.12230234867662806,-0.15473892119400373,0.040966249773871914,8,7.913200601118974
CDMS-11-6B-JDCHBA,-0.0854245179163575,0.003056197229420559,-0.02416367122148394,0.006618158240579049,-0.2936791800141143,6,7.819450464578911
CDMS-11-6B-JFSAHE,0.15949796070855685,-0.04172247354870322,-0.12424659884300318,-0.09882647416369089,0.05431158290039552,8,8.162057475314425
CDMS-11-6B-JLPENA,-0.6656190254582325,-0.0682088219009007,0.003914069796008273,-0.17008591908708004,0.025117139196902477,6,7.338160920807566
CDMS-11-6B-JMARME,-0.08583145721225406,-0.14244140215208434,-0.05612429704645541,-0.08458343080906496,-0.04197375600771497,4,7.8020891350332935
CDMS-11-6B-JPSAMA,0.15223940242799439,0.36258317721966715,0.17277514823448503,0.12306212009233827,0.0490977001230526,10,9.072801026358407
CDMS-11-6B-LESTA,-0.21246319041312148,-0.03028775961633569,-0.006691860339936813,0.06696845718683496,-0.05039074325609146,8,7.98017838182222
CDMS-11-6B-MEBRTA,0.12553731154387365,-0.016186000895613867,-0.08427164425749743,0.08850646881258993,0.08151409652032067,9,8.408143709984543
CDMS-11-6B-MMAMO,0.13818180412530603,-0.042423442807356715,0.0010802350793517165,0.05147908470313159,-0.0025844419427924928,9,8.35877671741851
CDMS-11-6B-RSECA,0.15394445548810162,0.12224786648232469,0.15459173045717098,0.14138011459806946,0.07173959549086413,10,8.856947240777405
CDMS-11-6B-SCAPA,0.08814178657504645,-0.13692031574450333,-0.12140704747575605,-0.07317523742743078,-0.2126529774934123,3,7.757029686694813
CDMS-11-6B-VZAPE,0.17575950724287662,0.3083211341667854,0.04302553382443235,0.08181453649502106,0.12187714214171229,12,8.943841332131695
CDMS-11-6B-YLNIME,0.12266864168307932,0.1058066333601731,-0.020700716877017866,-0.04489426641336888,0.03073696124412317,9,8.406660731257858
CDMS-11-7C-ICARE,0.1253420086933324,0.03581820358187364,0.09442481538620312,0.05025442518367631,0.10200351400907388,11,8.620886445115026
CDMS-11-7C-SALMA,0.1071036727788528,0.08754687703674263,-0.055250822126366055,0.08267557406859821,0.1400035753287356,10,8.575122355347428
CDMS-11-7C-SPGAVE,-0.23113541674933857,0.08817027628732012,-0.016590928259428487,-0.032200880860496994,-0.05448016278864753,8,7.966806365890277
CDMS-12-5A-SRIGO,0.14331580734677016,0.08161551077709668,-0.06735801963960934,0.011056347190130668,0.014475075607390385,10,8.396148199542647
CDMS-12-6A-FAROPA,0.19905895927856107,0.060129264063768395,0.16700216798631257,0.10676331305728018,0.051974344848689624,14,8.797971527495482
CDMS-12-6A-JGIGA,0.1441185325200143,-0.1632036282147724,-0.14614371256156208,-0.08946701045906968,0.013742303074327758,7,7.9720899626198065
CDMS-12-6A-SROAL,0.13145028904239425,0.0060965014320216015,0.0960225032400197,0.03098213326734374,0.06396191947635657,10,8.541556824719004
CDMS-12-6B-IJDAGA,0.15086895539337528,-0.0029935309789817254,0.07390127072312433,0.06838138770828266,0.06175128855693856,11,8.564952849663607
CDMS-12-6B-SCLAG,-0.06824044965660614,-0.0743308138025417,0.03532344521464278,-0.12413756841508496,0.026313635214597234,9,8.007971726815873
CDMS-12-7C-ARAHE,-0.018001498501284338,0.04781083588292538,0.14624418643018358,0.016095226486226563,0.2120570366962133,13,8.61724926525513
CDMS-12-7C-CATRAR,0.10744355452687233,0.15622462952220745,-0.0343364461744096,-0.014589814668675125,-0.2652041611165553,8,8.16258124035031
CDMS-12-7C-DLOLO,0.12140786344695913,-0.046030428613409016,-0.02936686909641471,0.06298492474417208,0.08146858013823532,9,8.40350754888041
CDMS-12-7C-JSZAOR,-0.18492935636215416,0.0115972327707123,-0.16188073053308394,-0.07110310908153683,-0.028561838812665604,5,7.7781656762421365
CDMS-12-7C-MAROBE,0.13638882694161655,-0.09607359209750321,0.056873756788130676,-0.037097945599403284,-0.16439354309770063,8,8.108740981196014
CDMS-12-7C-VMAPA,0.10027917517020125,-0.1568225913919931,-0.07102168055588515,-0.11174971376137584,0.023474876643401397,7,7.997203544365214
CDMS-12-7C-VQURA,0.14519314032908096,-0.006481237206337578,0.10932466350756531,0.0828330509111121,0.1097002277595578,9,8.653613323561848
CDMS-13-6B-ASUMO,-0.1332365096816335,0.07049732156636594,0.07038624204677653,-0.15717237506212495,-0.22433300513104135,7,7.839185151999212
CDMS-13-6B-JDTAHE,-0.20660208521087872,0.09921530172344785,0.041456450089906775,0.035725746566767455,0.0552854555330922,8,8.238124346963202
CDMS-13-7C-MVEAR,0.15826034264543964,-0.007985045221468508,0.0320421078241889,0.07917616142718353,0.11979474096038263,11,8.594331785896594
