subject,nodes_T6W50,edges_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,atd_T6W50,density_T6W50,diameter_T6W50,asp_T6W50,y_true,y_pred
CSO-13-6A-ANASA,-0.002203308970352713,0.0,0.0,0.0,-7.502983009910306e-05,-0.0024412421811814337,-0.0024955419147791127,0.0,0.0,-0.0005210739581477068,-7.899210085825995e-05,3,4.994373439612512
CSO-13-6B-JETAVE,0.001287370683592395,0.0,0.0002344266562843449,4.3574234886085625e-05,0.0,0.0015203645451887743,0.0012641136596216894,0.0,0.0,0.00044034779061369057,6.562114294236538e-05,9,5.00704444728106
CSO-13-6B-LFMIES,0.0,0.0,0.0,0.0,0.0,0.0011201600851884117,0.0013379400385296427,0.0,0.0,0.0,0.0,8,5.0046467286916485
CSO-13-6B-LJMAHU,0.0007375482996015822,0.0,0.00017927768441193076,0.0,4.5184462635039415e-05,0.0008888470221491907,0.001310801900858948,0.0,0.0,5.4055362037550204e-05,0.0,8,5.005404343299625
CSO-13-7A-CAPAMU,-0.00013527945773087732,0.0,-0.00012091825930123719,0.0,0.0,-0.000344982339700039,0.0,0.0,0.0,-0.0001561638633656992,0.0,7,5.001431284647833
CSO-13-7A-CDDITR,-0.002181356109796847,0.0,0.0,0.0,-9.755366959875304e-05,-0.0024473524657006316,-0.0023845739348932284,0.0,0.0,-0.0005251476672738027,-7.831724518903883e-05,2,4.994474327475478
CSO-13-7A-JJATFL,0.0010028453284830453,0.0,0.00020758721501730405,0.0,8.173382042937674e-05,0.0010757636751508337,0.0008109582111682507,0.0,0.0,0.00039630298684764344,6.502474228356914e-05,7,5.0058288445473105
CSO-13-7A-KRAMA,0.0013129756529930577,0.0,7.349150175945068e-05,5.091893097460606e-05,5.285858513903042e-05,0.0015148440620888113,0.0012066779346158155,0.0,0.0,0.00040495577873451207,6.663750560831766e-05,6,5.006871988519844
CSO-13-7A-RXCHLU,0.0009825116307181758,0.0,0.00036067466963660784,5.068382868904375e-05,6.490180360713908e-05,0.0010456748466695996,0.00046613103150027944,0.0,0.0,0.00039013841735014733,6.155430329338403e-05,1,5.005610899099395
CSO-13-7A-YAMEZA,-0.0010584968905049087,0.0,-6.0522008755117644e-05,0.0,-6.125763879457503e-05,-0.0013079295507042563,-0.002217275224271619,0.0,0.0,-0.00023195101092568285,0.0,3,4.997251196243974
CSO-13-7A-YBOSO,0.0004560655457237111,-0.0005753281135432127,0.0,0.0,0.0,0.0005535647900474399,-0.0015082602613407485,0.0,0.0,0.0,0.0,4,5.001114670528818
CSO-13-8A-KIGAGU,0.0007933460747551258,0.0,-0.0010340833865580793,0.0,0.0,0.0008407803051586008,0.0001730434207526119,0.0,0.0,0.00022883188623908934,0.0,2,5.003190546868278
